"Name"	"EngVsDes"	"FrVsDes"	"EngVsFr"
"Acidity"	"1 (W=65)"	"1 (W=263)"	"1 (W=191)"
"DeltaAcidity"	"1 (W=66)"	"1 (W=133)"	"1 (W=84)"
"SSC"	"0.03 (W=20)"	"1 (W=170)"	"0.64 (W=235)"
"Firmness"	"1 (W=60)"	"0.1 (W=92)"	"1 (W=109)"
"Weight"	"0.04 (W=133)"	"0.01 (W=340)"	"1 (W=169)"
"Juiciness"	"1 (W=47)"	"1 (W=117)"	"1 (W=25)"
"PhenolicContent"	"0.53 (W=2)"	"0.01 (W=15)"	"1 (W=16)"
"HarvestDate"	"0 (W=132)"	"0 (W=330)"	"0.48 (W=79.5)"
"FloweringDate"	"1 (W=50)"	"1 (W=140)"	"1 (W=180)"
"Softening"	"1 (W=52)"	"1 (W=148)"	"1 (W=64)"
