"Accession name"	"PI (no.)"	"MUNQ (no.)z"	"Ploidy"	"Ma1"	"Q8"	"TA (g·L-1)"	"pH"	"Date(s) harvested"	"SPI"	"Region of origin"	"PLANTID.x"	"ACP"	"apple_id"	"PLANTID.y"	"ACCID"	"origin"	"species"	"use"	"country"	"world"	"release_year"	"acidity_16_stor"	"brix_16_stor"	"weight_avg_16_stor"	"firmness_avg_16_stor"	"brix_acid_16_stor"	"acidity_16_harv"	"juiciness_16_harv"	"date_jul_16_harv"	"weight_avg_16_harv"	"brix_avg_16_harv"	"firmness_avg_16_harv"	"flowering_jul_16_harv"	"precocity_16_harv"	"brix_acid_16_harv"	"time_ripen_16_harv"	"percent_acidity_16"	"percent_brix_16"	"percent_weight_16"	"percent_firmness_avg_16"	"percent_brix_acid_16"	"acidity_17_stor"	"brix_17_stor"	"weight_avg_17_stor"	"firmness_avg_17_stor"	"brix_acid_17_stor"	"brix_17_harv"	"acidity_17_harv"	"date_jul_17_harv"	"firmness_avg_17_harv"	"weight_avg_17_harv"	"brix_acid_17_harv"	"percent_acidity_17"	"percent_brix_17"	"percent_weight_avg_17"	"percent_firmness_avg_17"	"percent_brix_acid_17"	"tpc"	"frap"	"time_ripen_2017"
"Boutteville"	162723	"n/a"	2	"mama"	"Q8Q8"	1.09	5	"27 Sept. 2018"	"8"	"France"	"Boutteville"	"PI"	506	"Boutteville"	"140210"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"1.0451999999999999"	"13"	"52.0075"	"7.2527499999999998"	"12.437810945273601"	"1.36050868357801"	"15.689239478275301"	"270.13272877501998"	"62.493000067386298"	"11.6245924219311"	"7.0583078531401"	"154.05145999956099"	"1.4937821220410701"	"7.4755899905078298"	"116.27789605122901"	"-23.175793538397599"	"11.8318778684579"	"-16.778679301809401"	"2.7547983299339398"	"66.378987625947602"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.1532092468845798"	"4.9662512721368701"	"NA"
"Sweet Coppin"	589688	"2574"	2	"mama"	"Q8Q8"	1.13	4.4	"06 Oct. 2017, 05 Oct. 2016"	"7.1"	"England"	"Sweet Coppin"	"PI"	1181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Harry Masters Jersey"	589653	"2589"	2	"mama"	"Q8q8"	1.21	4.7	"07 Sept. 2018"	"6.4"	"England"	"Harry Masters Jersey"	"PI"	911	"Harry Masters Jersey"	"18742"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"148.137"	"3.2572000000000001"	"NA"	"1.5126419184031501"	"3.6500660444598001"	"304.86987070610098"	"145.41829485743099"	"12.707246381267201"	"6.0640719358121"	"158.96869202507099"	"0.96712825527919499"	"8.8508710060597693"	"145.88599461627001"	"NA"	"NA"	"1.8695757265166999"	"-46.286916869105397"	"NA"	"1.9161999999999999"	"12.4"	"87.897999999999996"	"7.0541999999999998"	"6.4711407994990102"	"12.4048328171337"	"3.31559752145029"	"268.098697680047"	"10.445744797904201"	"132.42879494762701"	"3.5495023533906398"	"-42.206495583280997"	"-3.89591476559411E-2"	"-33.626217746101297"	"-32.468195073889497"	"82.311213100548997"	"10.491003777189899"	"11.056002379374901"	"109.143242013329"
"Le Bret"	589690	"n/a"	2	"mama"	"Q8Q8"	1.34	4.6	"19 Oct. 2017, 19 Oct. 2018"	"7.4"	"England"	"Le Bret"	"PI"	762	"Le Bret"	"19008"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.538764819112"	"1.9895894373855201"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Holaart Doux"	589585	"2108"	2	"mama"	"Q8Q8"	1.35	4.8	"06 Oct. 2017, 25 Oct. 2018, 30 Oct. 2019"	"7.7"	"Northern Europe"	"Holaart Doux"	"PI"	781	"Holaart Doux"	"18273"	"USDA"	"domestica"	"NA"	"Belgium"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"7.8945018928076998"	"13.0780546184273"	"295.40944845454101"	"152.76621490737799"	"13.1517845481801"	"7.7368021994562701"	"153.182374418997"	"2.5154441449161502"	"1.66663472167072"	"142.92324981738099"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"10.246730623231899"	"2.6828078712406298"	"267.27920577414199"	"8.2850336825078994"	"199.94410018202299"	"3.4354191593140899"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"115.201207998917"
"Gala"	392303	"739"	2	"Mama"	"Q8q8"	1.36	4.2	"27 Sept. 2018"	"7.8"	"New Zealand"	"Gala"	"PI"	205	"Gala"	"294439"	"USDA"	"domestica"	"dessert"	"New Zealand"	"new"	"1960"	"3.8725999999999998"	"14.4"	"122.286666666667"	"4.1307999999999998"	"3.7184320611475501"	"2.7635358501973601"	"12.4856725701306"	"310.41430183721099"	"148.396996993523"	"12.496538216237299"	"7.2975181535234697"	"153.97675338119001"	"1.52828587612839"	"4.5955168257000301"	"156.536697698681"	"40.132070286818802"	"15.231912637129"	"-17.594918263740599"	"-43.394453934924201"	"-19.085661043551401"	"3.8056000000000001"	"13.7"	"190.304"	"6.7088000000000001"	"3.5999579566954001"	"12.2150856539876"	"5.4943627511943101"	"253.755317679988"	"10.9513011629657"	"185.41309277904199"	"2.2515646684341601"	"-30.7362805782568"	"12.156397327657301"	"2.6378435026627498"	"-38.7396995099786"	"59.886944717380601"	"3.0655098169339201"	"3.0577194417087901"	"99.723385458953899"
"Ellis Bitter"	589650	"2593"	2	"mama"	"Q8Q8"	1.4	4.6	"01 Sept. 2017, 24 Aug. 2018, 04 Sept. 2019"	"7.8"	"England"	"Ellis Bitter"	"PI"	741	"Ellis Bitter"	"18721"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"160.685783979174"	"1.5054999440535299"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Binet Blanc"	122598	"2358"	2	"mama"	"Q8Q8"	1.41	4.6	"29 Sept. 2017, 24 Oct. 2019"	"7.5"	"France"	"Binet Blanc"	"PI"	550	"Binet Blanc"	"132248"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"156.97467840080901"	"0.993782121631552"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"1.8759999999999999"	"13.9"	"70.945999999999998"	"8.7782"	"7.4093816631130096"	"12.073242824335299"	"2.9013776006427299"	"267.581679024246"	"10.8243256135307"	"69.640265549118496"	"3.92732181855986"	"-35.341060068003003"	"15.130625650820299"	"1.87497052256434"	"-18.9030308823396"	"88.662452567485602"	"NA"	"NA"	"110.48057509834"
"Sweet Alford"	589081	"n/a"	2	"mama"	"Q8Q8"	1.41	4.4	"06 Oct. 2017, 05 Oct. 2018"	"6"	"England"	"Sweet Alford"	"PI"	1166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Coat Jersey"	589175	"2598"	2	"mama"	"Q8Q8"	1.45	4.6	"15 Sept. 2017, 18 Sept. 2019"	"8"	"England"	"Coat Jersey"	"PI"	465	"Coat Jersey"	"10958"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"2.4655999999999998"	"17.3"	"105.387"	"4.8693999999999997"	"7.0165476963011004"	"1.9945018928077001"	"12.939239478275301"	"280.88811953102203"	"118.44288588225"	"12.1073401037357"	"8.7461055583002807"	"157.02866005707"	"2.5441135120884599"	"6.7101652652013"	"123.310084726418"	"23.619837558996998"	"42.888527552489499"	"-11.022938005098499"	"-44.324934480366402"	"4.5659446375887303"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"13.829151864060901"	"7.10639871012323"	"NA"
