"PLANTID"	"apple_id"	"ACCID"	"origin"	"species"	"use"	"country"	"world"	"release_year"	"acidity_16_stor"	"brix_16_stor"	"weight_avg_16_stor"	"firmness_avg_16_stor"	"brix_acid_16_stor"	"acidity_16_harv"	"juiciness_16_harv"	"date_jul_16_harv"	"weight_avg_16_harv"	"brix_avg_16_harv"	"firmness_avg_16_harv"	"flowering_jul_16_harv"	"precocity_16_harv"	"brix_acid_16_harv"	"time_ripen_16_harv"	"percent_acidity_16"	"percent_brix_16"	"percent_weight_16"	"percent_firmness_avg_16"	"percent_brix_acid_16"	"acidity_17_stor"	"brix_17_stor"	"weight_avg_17_stor"	"firmness_avg_17_stor"	"brix_acid_17_stor"	"brix_17_harv"	"acidity_17_harv"	"date_jul_17_harv"	"firmness_avg_17_harv"	"weight_avg_17_harv"	"brix_acid_17_harv"	"percent_acidity_17"	"percent_brix_17"	"percent_weight_avg_17"	"percent_firmness_avg_17"	"percent_brix_acid_17"	"tpc"	"frap"	"time_ripen_2017"
"Ambrosia"	1216	"NA"	"Kentville"	"domestica"	"dessert"	"Canada"	"new"	"1993"	"2.4923999999999999"	"13"	"135.661"	"6.0240999999999998"	"5.2158562028566804"	"2.8262961831945801"	"15.158567208879001"	"308.08247993036701"	"154.20254327814899"	"12.468828390921599"	"8.6547657572198808"	"153.991886589426"	"1.6111111111111101"	"4.4230798812657897"	"153.99479224203799"	"-11.8139133888358"	"4.2599961473937702"	"-12.0241488136184"	"-30.395574311475201"	"17.923626587634999"	"2.1038000000000001"	"11.1666666666667"	"110.416666666667"	"8.4478666666666697"	"5.3189721338310303"	"10.693278611722"	"3.4318954598391"	"276.85996815777099"	"9.1169936713109792"	"136.92560773100001"	"3.2496595007798801"	"-38.698598934052796"	"4.4269683053593099"	"-19.3601047339601"	"-7.3393382596051797"	"63.677829401958597"	"2.5189949410091699"	"2.86260070213465"	"122.880498242608"
"Cortland"	134	"3780"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1915"	"5.7619999999999996"	"13.5"	"166.07400000000001"	"4.1284999999999998"	"2.34293648038875"	"6.0383596056976403"	"16.6694736145358"	"299.37323293545001"	"225.019453989406"	"13.0620046318821"	"6.03196323484375"	"153.13184763040999"	"2.0356652897496001"	"2.1610306070836902"	"146.01802175493299"	"-4.5767331484675902"	"3.3532017516578501"	"-26.1957146123824"	"-31.556280446942399"	"8.4175519175335403"	"6.3917999999999999"	"14.4"	"NA"	"NA"	"2.25288651084202"	"13.077109179465999"	"8.7968262809046802"	"267.60653303275399"	"7.8016820902260298"	"243.785047443259"	"1.5241842045796701"	"-27.339704162685202"	"10.1160799560444"	"NA"	"NA"	"47.8093332861501"	"3.9486308179087102"	"4.2138497279395404"	"114.549001059622"
"Empire"	171	"3692"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1966"	"2.8675999999999999"	"11"	"111.02800000000001"	"4.4509999999999996"	"3.8359603849909298"	"4.2039381035000902"	"18.04277710777"	"305.86923632928898"	"121.440081297765"	"11.9994659941237"	"6.2817862842194296"	"153.19765944148099"	"1.7218554539487501"	"2.9022400327548401"	"151.76065486548299"	"-31.787768292484799"	"-8.3292539402432695"	"-8.5738424962307906"	"-29.1443580119651"	"32.172402754357698"	"4.5292000000000003"	"11.3"	"95.707999999999998"	"5.5571999999999999"	"2.4949218405016298"	"11.337923366479499"	"8.1013057003969795"	"275.09435470194597"	"8.7945191293737608"	"145.23078999224899"	"1.3703083791508299"	"-44.092962696395197"	"-0.33448247314511398"	"-34.099373827610499"	"-36.810644013054599"	"82.070100311852002"	"1.5389455252434301"	"1.4611256628153"	"121.735396353967"
"Fuji Red Sport Type 2"	160	"3720"	"USDA"	"domestica"	"dessert"	"Japan"	"old"	"1992"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"151.89126212142"	"0.98958943766732799"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"4.0735999999999999"	"13.5"	"213.24600000000001"	"7.4320000000000004"	"3.31402199528672"	"11.130726747865101"	"4.2239488871572197"	"285.66132827842"	"8.6867701189464803"	"171.78211983275901"	"2.69655294329075"	"-3.5594390740463502"	"21.285881019308398"	"24.1374831138472"	"-14.444610617814501"	"22.8984583274096"	"NA"	"NA"	"136.24511121925499"
"Buckeye Gala"	246	"NA"	"Kentville"	"domestica"	"dessert"	"United States"	"new"	"NA"	"3.2294"	"14.5"	"131.26"	"6.2618749999999999"	"4.4899981420697301"	"3.5528277343060402"	"9.1392394782752699"	"311.16836365272701"	"145.25520474086599"	"14.0201677966612"	"7.53704588429515"	"154.33604929140901"	"1.9142798002892101"	"3.7611925174577499"	"157.01993444888399"	"-9.1033891450189905"	"3.4224426575912199"	"-9.6349075861572899"	"-16.918709317561799"	"19.376982731652099"	"4.4622000000000002"	"13.1"	"156.416"	"7.2130000000000001"	"2.9357715924880101"	"12.4009825160561"	"4.3870118832905103"	"260.926506855208"	"9.7307676629024797"	"149.927703969021"	"2.77348221094995"	"1.7138799417405399"	"5.6367911416603604"	"4.3276164839552598"	"-25.874296356917501"	"5.8514664668598702"	"4.0266543945118602"	"4.0472676505783802"	"107.043792873542"
"Gala"	205	"294439"	"USDA"	"domestica"	"dessert"	"New Zealand"	"new"	"1960"	"3.8725999999999998"	"14.4"	"122.286666666667"	"4.1307999999999998"	"3.7184320611475501"	"2.7635358501973601"	"12.4856725701306"	"310.41430183721099"	"148.396996993523"	"12.496538216237299"	"7.2975181535234697"	"153.97675338119001"	"1.52828587612839"	"4.5955168257000301"	"156.536697698681"	"40.132070286818802"	"15.231912637129"	"-17.594918263740599"	"-43.394453934924201"	"-19.085661043551401"	"3.8056000000000001"	"13.7"	"190.304"	"6.7088000000000001"	"3.5999579566954001"	"12.2150856539876"	"5.4943627511943101"	"253.755317679988"	"10.9513011629657"	"185.41309277904199"	"2.2515646684341601"	"-30.7362805782568"	"12.156397327657301"	"2.6378435026627498"	"-38.7396995099786"	"59.886944717380601"	"3.0655098169339201"	"3.0577194417087901"	"99.723385458953899"
"Gala Must Regal Prince"	584	"NA"	"Kentville"	"domestica"	"dessert"	"New Zealand"	"new"	"NA"	"NA"	"NA"	"NA"	"5.6143999999999998"	"NA"	"3.3709677853241899"	"6.8463147372646702"	"309.681396325251"	"138.91832095976201"	"13.093744013253"	"6.3998592419056104"	"153.92507033300299"	"1.0457434239932"	"3.6421406059753698"	"155.31611688904201"	"NA"	"NA"	"NA"	"-12.273070581967"	"NA"	"3.7385999999999999"	"12.1"	"NA"	"NA"	"3.2365056438238899"	"12.072412549468201"	"4.5461509111504297"	"257.508649022866"	"8.7755310113794902"	"167.823355990273"	"2.6811948183730201"	"-17.763398684582501"	"0.22851646610614099"	"NA"	"NA"	"20.711319507466399"	"3.3739472762789098"	"3.59645019105192"	"103.55126743989599"
"Galarina"	89	"NA"	"Kentville"	"domestica"	"dessert"	"France"	"old"	"1985"	"4.2210000000000001"	"12.7"	"88.674999999999997"	"NA"	"3.0087656953328601"	"4.0048637434849903"	"18.600066044459801"	"304.81793162137802"	"101.38185157516"	"12.069194950147301"	"8.9958053871663299"	"155.56513000294601"	"2.0004894524660002"	"3.1710562131486202"	"149.089357241047"	"5.3968441964252802"	"5.2265710551390097"	"-12.5336550652162"	"NA"	"-5.1178694702046199"	"6.3650000000000002"	"NA"	"140.416"	"9.4822000000000006"	"NA"	"9.3586748406141496"	"7.2849622536715497"	"274.89484582932801"	"9.1906025201565793"	"139.13757471337499"	"1.31207143335292"	"-12.628236381154901"	"NA"	"0.918821022472599"	"3.17277870742313"	"NA"	"4.24381575790615"	"3.3889088162911798"	"120.96317548090499"
"Golden Delicious"	222	"24944"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1914"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.85444734518799"	"1.04490662184619"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"16.531082177238002"	"NA"	"274.76027550228298"	"8.6928835641589295"	"225.02316133765399"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"120.61233090328901"
"Honeycrisp"	1223	"649420"	"Kentville"	"domestica"	"dessert"	"United States"	"new"	"1991"	"4.5961999999999996"	"NA"	"172.291"	"6.5800999999999998"	"NA"	"4.3500384802658303"	"20.5354600027628"	"283.848405287231"	"204.690417818226"	"11.283696352017801"	"6.1074882212526802"	"153.86361407082799"	"1.7222222222222201"	"2.6562437870913702"	"130.00370232461901"	"5.6588354528561897"	"NA"	"-15.828497573832699"	"7.73823479679809"	"NA"	"5.2126000000000001"	"11.6"	"156.55799999999999"	"8.5299999999999994"	"2.2253769711852001"	"11.7085348555153"	"7.0345161092896697"	"255.95935616393101"	"8.2217016531987497"	"207.510680680923"	"1.71023645180211"	"-25.899665037139901"	"-0.92697213489674801"	"-24.554244877289001"	"3.7498118978971"	"30.121011561896999"	"2.4321787798130701"	"3.3481920592069998"	"101.97333546701"
